epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,171.369,0.40601,0.65629,0.79338,0.99724,1,0.93321,0.99223,0.86437,1,0.93321,0.99223,0.82362,0.48936,0.65247,1.91421,0.99227,0.00076832,0.00076832,0.00076832
42,175.594,0.34417,0.48952,0.66919,0.9585,0.99251,0.93651,0.98261,0.86062,0.99251,0.93651,0.98261,0.84744,0.49383,0.6345,2.03104,0.95973,0.000786716,0.000786716,0.000786716
43,179.905,0.44724,0.67822,0.7297,1.02251,1,0.99317,0.995,0.81982,1,0.99317,0.995,0.79454,0.63051,0.69718,2.17665,1.1454,0.000805073,0.000805073,0.000805073
44,184.089,0.39869,0.59197,0.70987,1.00239,0.99727,1,0.995,0.95558,0.99727,1,0.995,0.86346,0.34294,0.75646,1.60688,0.82634,0.00082339,0.00082339,0.00082339
45,188.368,0.46117,0.71076,0.69048,1.02563,0.99828,1,0.995,0.93827,0.99828,1,0.995,0.79051,0.43162,1.27418,1.57112,1.10984,0.000841667,0.000841667,0.000841667
46,192.586,0.42086,0.71616,0.67245,0.99702,0.999,1,0.995,0.84795,0.999,1,0.995,0.48897,0.53792,2.4553,1.51459,1.46395,0.000859905,0.000859905,0.000859905
47,196.727,0.41616,0.52076,0.63905,1.02677,0.99891,1,0.995,0.96333,0.98306,0.98413,0.9755,0.39933,0.36398,3.38186,1.25606,1.04356,0.000878103,0.000878103,0.000878103
48,200.983,0.41218,0.68151,0.64309,0.98986,0.98324,1,0.99453,0.96094,0.98324,1,0.99453,0.55782,0.32221,2.76532,1.24367,0.97747,0.000896262,0.000896262,0.000896262
49,205.175,0.37809,0.6103,0.67528,1.01338,0.99896,1,0.995,0.93841,0.99896,1,0.995,0.65769,0.3767,2.46378,1.31582,1.02181,0.000914381,0.000914381,0.000914381
50,209.466,0.4425,0.67577,0.65699,0.99665,0.95418,0.96825,0.99212,0.91921,0.95418,0.96825,0.99212,0.74047,0.49645,1.69411,1.54048,1.20902,0.00093246,0.00093246,0.00093246
51,213.931,0.49046,0.75458,0.63845,1.05924,0.82316,0.90476,0.95147,0.76572,0.82316,0.90476,0.94954,0.72043,0.59699,1.11815,1.89394,1.46379,0.0009505,0.0009505,0.0009505
52,218.175,0.40266,0.61456,0.61065,0.9741,0.86193,1,0.97063,0.69084,0.86193,1,0.97063,0.68101,0.75356,1.03738,1.92308,2.0997,0.0009685,0.0009685,0.0009685
53,222.36,0.39869,0.60288,0.63231,0.9898,0.95295,0.96456,0.98955,0.6475,0.95295,0.96456,0.98955,0.67301,0.83546,0.90949,1.9388,1.84601,0.000986461,0.000986461,0.000986461
54,226.613,0.40571,0.56511,0.61657,1.0289,0.86775,0.96825,0.97007,0.60431,0.86775,0.96825,0.9571,0.60983,0.77783,1.06362,2.00996,1.7936,0.00100438,0.00100438,0.00100438
55,230.838,0.46568,0.67315,0.69683,1.05324,0.95334,0.98413,0.99318,0.60288,0.95334,0.98413,0.99318,0.53679,0.82919,1.66695,2.14174,2.18408,0.00102226,0.00102226,0.00102226
56,234.99,0.44637,0.65588,0.64917,1.00835,1,0.99444,0.995,0.67761,1,0.99444,0.995,0.56682,0.79223,1.80029,2.02513,2.03441,0.0010401,0.0010401,0.0010401
57,239.827,0.42374,0.5816,0.63381,1.00211,0.94977,1,0.98955,0.70945,0.94977,1,0.98955,0.65951,0.69151,1.38524,1.68325,1.60391,0.00105791,0.00105791,0.00105791
58,244.34,0.43289,0.57995,0.61499,1.00489,0.99065,1,0.995,0.83014,0.99065,1,0.995,0.79285,0.51294,1.24516,1.40023,1.25353,0.00107567,0.00107567,0.00107567
59,248.992,0.4501,0.65506,0.65143,1.06816,0.89613,0.95861,0.97445,0.74834,0.89613,0.95861,0.97353,0.63177,0.73401,1.39661,1.65977,1.48722,0.00109339,0.00109339,0.00109339
60,252.952,0.38076,0.5904,0.56858,0.99362,0.668,0.93651,0.72459,0.55052,0.668,0.93651,0.72459,0.37633,0.92824,2.4044,2.1162,1.76639,0.00111108,0.00111108,0.00111108
61,256.876,0.50651,0.72828,0.69407,1.05231,0.80211,0.95238,0.90389,0.71722,0.7555,0.90476,0.85222,0.28103,0.59143,5.62634,1.64089,1.36093,0.00112872,0.00112872,0.00112872
62,260.84,0.43337,0.60584,0.63195,1.02598,0.96758,0.98413,0.99455,0.89296,0.9512,0.96825,0.98079,0.35724,0.40386,6.0822,1.2387,0.92852,0.00114632,0.00114632,0.00114632
63,264.752,0.4779,0.6502,0.60851,1.07207,0.99681,1,0.995,0.94986,0.99681,1,0.995,0.32623,0.31032,5.67361,1.06632,0.76486,0.00116389,0.00116389,0.00116389
64,268.669,0.44502,0.63922,0.60423,0.99747,0.99836,1,0.995,0.95195,0.99836,1,0.995,0.26921,0.29634,6.10289,1.021,0.7876,0.00118141,0.00118141,0.00118141
65,272.583,0.48418,0.552,0.60497,1.05053,0.9767,0.98413,0.98867,0.90843,0.9767,0.98413,0.98867,0.25481,0.39541,5.67416,1.08872,0.95766,0.0011989,0.0011989,0.0011989
66,276.461,0.50771,0.82963,0.66598,1.0739,0.86789,0.9385,0.94518,0.69427,0.83382,0.87615,0.88467,0.20268,0.70356,6.30179,1.50868,1.45225,0.00121635,0.00121635,0.00121635
67,280.345,0.38914,0.53506,0.57559,1.00917,0.72405,0.88889,0.87272,0.59983,0.68451,0.8254,0.79977,0.14873,0.81081,5.84628,1.78517,1.50768,0.00123375,0.00123375,0.00123375
68,284.227,0.42494,0.59753,0.60674,0.99819,0.80302,0.84124,0.90191,0.49996,0.4948,0.38095,0.31898,0.05784,0.91354,6.36783,2.16177,1.50382,0.00125112,0.00125112,0.00125112
69,288.129,0.43066,0.60502,0.58571,1.01611,0.95194,0.94325,0.9819,0.59038,0.49842,0.46032,0.46949,0.10512,0.89539,3.6769,2.09099,1.37495,0.00126844,0.00126844,0.00126844
70,292.158,0.48988,0.58001,0.57917,1.07375,0.96331,1,0.98618,0.88067,0.96331,1,0.98618,0.49194,0.54204,1.70626,1.41741,0.96871,0.00128573,0.00128573,0.00128573
71,296.208,0.40122,0.53647,0.53326,1.00773,0.98177,1,0.99438,0.89831,0.98177,1,0.99438,0.5517,0.5131,1.67219,1.27615,1.03924,0.00130298,0.00130298,0.00130298
72,300.321,0.41493,0.64142,0.5832,1.001,0.86811,0.96825,0.97407,0.75722,0.84505,0.92063,0.91677,0.39664,0.75595,2.21246,1.55631,1.39646,0.00132019,0.00132019,0.00132019
73,304.499,0.41787,0.59189,0.52523,1.01066,0.31274,0.84127,0.42292,0.34135,0.31274,0.84127,0.42292,0.16924,0.72657,2.54399,1.70717,1.32492,0.00133736,0.00133736,0.00133736
74,309.005,0.49065,0.60515,0.54434,1.02095,0.78292,0.68703,0.86674,0.67311,0.77787,0.68254,0.85972,0.42656,0.72785,1.86531,1.69633,1.24883,0.00135449,0.00135449,0.00135449
75,314.553,0.45433,0.6279,0.51608,1.03267,0.64169,0.7619,0.74843,0.45777,0.63588,0.77778,0.70214,0.40504,0.87817,1.39948,1.68335,1.30596,0.00137158,0.00137158,0.00137158
76,319.092,0.52979,0.68348,0.61181,1.04499,0.58095,0.60317,0.65424,0.48455,0.58095,0.60317,0.65424,0.23151,0.632,3.93202,1.63001,1.05695,0.00138863,0.00138863,0.00138863
77,324.155,0.43341,0.60077,0.5352,1.00408,0.88404,0.60317,0.82054,0.60837,0.88404,0.60317,0.82054,0.24039,0.78953,4.07942,1.55028,1.13756,0.00140564,0.00140564,0.00140564
78,328.596,0.44463,0.73479,0.54425,1.03745,0.86504,0.92063,0.95435,0.65945,0.86504,0.92063,0.95435,0.57945,0.91303,1.46827,1.33706,1.2187,0.00142261,0.00142261,0.00142261
79,333.213,0.42561,0.52367,0.5424,1.00295,0.99816,0.92063,0.9822,0.77573,0.99816,0.92063,0.9822,0.78942,0.63027,0.86637,1.21474,0.97034,0.00143954,0.00143954,0.00143954
80,337.595,0.44742,0.70387,0.57237,1.02218,0.59162,0.88889,0.75928,0.70741,0.59162,0.88889,0.75928,0.6002,0.40569,0.95467,1.57464,0.77966,0.00145643,0.00145643,0.00145643
81,341.685,0.46223,0.58186,0.54,1.03639,0.47467,0.68847,0.48119,0.42959,0.47467,0.68847,0.48119,0.37572,0.41017,0.96624,1.68123,0.77921,0.00147328,0.00147328,0.00147328
82,345.997,0.44184,0.75401,0.57716,1.03341,0.93754,0.95238,0.98562,0.87435,0.93754,0.95238,0.98562,0.78172,0.44821,0.99534,1.21457,0.81956,0.00149009,0.00149009,0.00149009
83,350.085,0.39175,0.56162,0.53195,0.9933,0.95437,0.99592,0.98781,0.73813,0.95437,0.99592,0.98781,0.73462,0.6028,1.03707,1.15488,0.92641,0.00150686,0.00150686,0.00150686
84,354.258,0.51767,0.68612,0.5846,1.06301,0.89494,0.90476,0.96961,0.50924,0.88093,0.93947,0.9736,0.58425,1.06798,1.15799,1.59033,1.33833,0.0015236,0.0015236,0.0015236
